;N;VOZR;GOD_POST;VREM_OB;COD_COURS;UROVEN;NAPR;UZNAL;VR_PUT;PROFROD;TEACHER;STAG
773;9929;13;2019;8;3;2;2;н;33;н;149;3
774;9929;14;2020;4;13;3;4;н;33;н;155;2
775;9937;14;2017;8;18;2;3;интернет;28;руководитель;24;14
776;9937;14;2017;8;16;3;4;интернет;28;руководитель;140;2
777;9937;16;2019;8;4;2;2;интернет;28;руководитель;7;16
778;9938;10;2016;8;0;1;1;интернет;33;н;149;0
779;9938;11;2017;8;3;2;2;интернет;33;н;149;1
780;9938;12;2018;8;7;3;2;интернет;33;н;149;2
781;9938;13;2019;8;3;2;2;интернет;33;н;149;3
782;9938;14;2020;4;13;3;4;интернет;33;н;155;2
783;9940;14;2016;8;4;2;2;знакомые;39;менеджер;7;13
784;9940;15;2017;8;18;2;3;знакомые;39;менеджер;24;14
785;9940;16;2018;8;20;3;3;знакомые;39;менеджер;24;15
786;9941;9;2016;6;0;1;1;интернет;38;пенсионер;141;1
787;9945;10;2016;8;1;1;1;итмо;19;инд_предпр;143;1
788;9945;11;2017;8;2;1;1;итмо;19;инд_предпр;148;1
789;9945;12;2018;8;11;2;5;итмо;19;инд_предпр;86;9
790;9972;16;2016;7;15;3;2;итмо;40;сотр_антей;130;3
791;9973;14;2016;7;4;2;2;интернет;43;программист;7;13
792;9973;16;2018;8;16;3;4;интернет;43;программист;140;3
793;9980;11;2016;6;1;1;1;н;36;преподаватель;143;1
794;9980;12;2017;8;2;1;1;н;36;преподаватель;148;1
795;9981;15;2017;8;16;3;4;вк;35;менеджер;140;2
796;9991;10;2016;7;1;1;1;итмо;12;сотр_ооо;146;0
797;9991;11;2017;8;2;1;1;итмо;12;сотр_ооо;148;1
798;9991;12;2018;8;11;2;5;итмо;12;сотр_ооо;86;9
799;10003;14;2016;7;15;3;2;знакомые;19;н;130;3
800;10032;14;2017;4;6;3;2;н;28;н;150;0
801;10034;10;2017;3;0;1;1;н;27;директор;149;0
802;10034;10;2017;8;3;2;2;н;27;директор;149;1
803;10034;11;2018;8;11;2;5;н;27;директор;144;2
804;10055;10;2017;8;1;1;1;знакомые;22;н;143;1
805;10056;12;2017;8;2;1;1;интернет;32;бухгалтер;148;1
806;10056;13;2018;8;18;2;3;интернет;32;бухгалтер;24;15
807;10056;14;2019;8;13;3;4;интернет;32;бухгалтер;155;1
808;10061;15;2017;8;2;1;1;знакомые;17;врач;148;1
809;10061;15;2017;8;4;2;2;знакомые;17;врач;7;14
810;10061;16;2018;8;13;3;4;знакомые;17;врач;140;3
811;10061;16;2018;8;15;3;2;знакомые;17;врач;130;5
812;10061;17;2019;8;16;3;4;знакомые;17;врач;140;4
813;10068;9;2017;8;0;1;1;интернет;17;начальник;149;1
814;10068;10;2018;2;1;1;1;интернет;17;начальник;153;1
815;10068;13;2021;8;13;3;4;интернет;17;начальник;152;5
816;10069;11;2017;8;13;3;4;интернет;33;н;140;2
817;10071;9;2017;8;0;1;1;итмо;30;н;141;2
818;10071;10;2018;8;2;1;1;итмо;30;н;148;2
819;10071;11;2019;8;4;2;2;итмо;30;н;7;16
820;10071;12;2020;8;13;3;4;итмо;30;н;155;2
821;10071;13;2021;8;16;3;4;итмо;30;н;140;6
822;10075;16;2018;8;4;2;2;интернет;39;сотр_ооо;7;15
823;10076;13;2017;7;2;1;1;знакомые;5;н;148;1
824;10076;14;2018;8;13;3;4;знакомые;5;н;140;3
825;10081;10;2017;8;1;1;1;знакомые;12;н;143;2
826;10081;11;2018;8;11;2;5;знакомые;12;н;144;2
827;10081;13;2020;8;3;2;2;знакомые;12;н;149;4
828;10083;12;2017;8;0;1;1;знакомые;22;специалист;141;2
829;10083;13;2018;8;11;2;5;знакомые;22;специалист;153;1
830;10083;14;2019;8;19;3;5;знакомые;22;специалист;86;10
831;10085;13;2017;8;2;1;1;знакомые;38;сотр_ооо;148;1
832;10085;14;2018;8;18;2;3;знакомые;38;сотр_ооо;24;15
833;10085;15;2019;8;5;3;2;знакомые;38;сотр_ооо;150;3
834;10086;12;2017;8;3;2;2;интернет;38;нач_отд;149;1
835;10086;13;2018;8;7;3;2;интернет;38;нач_отд;149;2
836;10086;14;2019;8;4;2;2;интернет;38;нач_отд;7;16
837;10086;15;2020;8;15;3;2;интернет;38;нач_отд;130;6
838;10087;13;2017;8;4;2;2;интернет;8;дизайнер;7;14
839;10087;14;2018;8;13;3;4;интернет;8;дизайнер;140;3
840;10087;15;2019;8;3;2;2;интернет;8;дизайнер;149;3
841;10089;14;2017;8;13;3;4;интернет;38;н;130;4
842;10089;15;2018;8;11;2;5;интернет;38;н;86;9
843;10090;13;2017;8;4;2;2;знакомые;37;адвокат;7;14
844;10090;14;2018;8;18;2;3;знакомые;37;адвокат;24;15
845;10090;15;2019;6;20;3;3;знакомые;37;адвокат;24;16
846;10091;11;2017;8;1;1;1;знакомые;11;специалист;153;0
847;10091;12;2018;8;11;2;5;знакомые;11;специалист;144;2
848;10093;14;2017;8;18;2;3;интернет;5;преподаватель;24;14
849;10093;14;2017;8;4;2;2;интернет;5;преподаватель;7;14
850;10093;15;2018;8;20;3;3;интернет;5;преподаватель;24;15
851;10094;14;2017;8;18;2;3;интернет;33;домохозяйка;24;14
852;10094;14;2017;8;4;2;2;интернет;33;домохозяйка;7;14
853;10094;15;2018;8;20;3;3;интернет;33;домохозяйка;24;15
854;10096;14;2017;8;18;2;3;интернет;16;сотр_пао;24;14
855;10096;15;2018;8;11;2;5;интернет;16;сотр_пао;144;2
856;10098;9;2017;8;0;1;1;вк;43;н;154;0
857;10098;10;2018;2;1;1;1;вк;43;н;153;1
858;10099;9;2017;8;0;1;1;знакомые;38;н;149;1
859;10100;13;2017;8;11;2;5;интернет;15;врач;144;1
860;10100;14;2018;8;19;3;5;интернет;15;врач;144;2
861;10100;14;2018;8;13;3;4;интернет;15;врач;130;5
862;10100;15;2019;8;16;3;4;интернет;15;врач;140;4
863;10101;14;2017;8;18;2;3;знакомые;15;методист;24;14
864;10101;15;2018;8;20;3;3;знакомые;15;методист;24;15
865;10102;11;2017;8;2;1;1;интернет;8;экономист;148;1
866;10102;12;2018;8;11;2;5;интернет;8;экономист;86;9
867;10102;13;2019;7;19;3;5;интернет;8;экономист;86;10
868;10107;11;2017;8;1;1;1;знакомые;5;директор;143;1
869;10107;12;2018;8;3;2;2;знакомые;5;директор;141;3
870;10107;13;2019;8;5;3;2;знакомые;5;директор;150;3
871;10107;14;2020;8;11;2;5;знакомые;5;директор;161;0
872;10108;11;2017;8;1;1;1;знакомые;5;директор;143;1
873;10108;12;2018;8;3;2;2;знакомые;5;директор;141;3
874;10108;13;2019;8;5;3;2;знакомые;5;директор;150;3
875;10108;14;2020;8;9;3;2;знакомые;5;директор;149;4
876;10111;14;2018;8;13;3;4;интернет;28;н;130;4
877;10113;14;2017;8;13;3;4;знакомые;33;инд_предпр;130;4
878;10114;11;2017;2;2;1;1;знакомые;35;сотр_ооо;148;1
879;10114;11;2017;7;2;1;1;знакомые;35;сотр_ооо;148;1
880;10114;12;2018;7;11;2;5;знакомые;35;сотр_ооо;144;2
881;10120;10;2017;8;0;1;1;интернет;8;аудитор;154;0
882;10120;11;2018;8;1;1;1;интернет;8;аудитор;143;2
883;10120;12;2019;8;11;2;5;интернет;8;аудитор;153;2
884;10120;13;2020;8;18;2;3;интернет;8;аудитор;159;0
885;10129;12;2017;8;2;1;1;вк;12;сотр_ооо;148;1
886;10129;13;2018;8;3;2;2;вк;12;сотр_ооо;141;3
887;10131;11;2017;8;1;1;1;интернет;5;сотр_тсж;143;1
888;10131;12;2018;8;11;2;5;интернет;5;сотр_тсж;144;2
889;10131;13;2019;8;19;3;5;интернет;5;сотр_тсж;86;10
890;10131;14;2020;8;18;2;3;интернет;5;сотр_тсж;24;17
891;10132;10;2017;8;1;1;1;интернет;36;специалист;143;1
892;10132;11;2018;8;11;2;5;интернет;36;специалист;144;2
893;10132;12;2019;8;19;3;5;интернет;36;специалист;86;10
894;10133;12;2017;8;1;1;1;интернет;5;сотр_тсж;153;0
895;10134;10;2017;8;1;1;1;интернет;36;н;143;1
896;10134;11;2018;8;3;2;2;интернет;36;н;149;2
897;10135;10;2017;8;1;1;1;интернет;36;менеджер;143;1
898;10135;11;2018;8;3;2;2;интернет;36;менеджер;149;2
899;10136;10;2017;8;0;1;1;интернет;38;н;149;1
900;10136;11;2018;8;1;1;1;интернет;38;н;153;1
901;10136;12;2019;8;2;1;1;интернет;38;н;148;3
902;10136;13;2020;2;18;2;3;интернет;38;н;24;17
903;10150;13;2017;8;2;1;1;интернет;40;повар;148;1
904;10150;14;2018;8;11;2;5;интернет;40;повар;144;2
905;10151;14;2017;8;13;3;4;интернет;40;сотр_соц;130;4
906;10153;12;2017;8;2;1;1;интернет;38;следователь;148;1
907;10153;13;2018;8;11;2;5;интернет;38;следователь;144;2
908;10153;14;2019;8;18;2;3;интернет;38;следователь;24;16
909;10153;15;2020;8;20;3;3;интернет;38;следователь;159;0
910;10154;12;2017;8;2;1;1;интернет;38;домохозяйка;148;1
911;10155;14;2017;8;2;1;1;н;27;преподаватель;148;1
912;10157;9;2017;8;0;1;1;знакомые;28;н;149;1
913;10157;10;2018;4;1;1;1;знакомые;28;н;143;2
914;10158;9;2017;2;0;1;1;интернет;15;фрилансер;154;0
915;10159;11;2017;8;0;1;1;знакомые;40;преподаватель;141;2
916;10159;12;2018;8;11;2;5;знакомые;40;преподаватель;144;2
917;10159;12;2018;8;13;3;4;знакомые;40;преподаватель;130;5
918;10160;13;2017;8;2;1;1;интернет;12;сотр_иога;148;1
919;10161;14;2017;8;2;1;1;интернет;43;врач;148;1
920;10161;15;2018;8;11;2;5;интернет;43;врач;86;9
921;10164;12;2017;6;11;2;5;знакомые;40;преподаватель;144;1
922;10165;10;2017;8;0;1;1;знакомые;12;инспектор;149;1
923;10167;14;2017;8;18;2;3;знакомые;38;домохозяйка;7;14
924;10167;14;2017;8;1;1;1;знакомые;38;домохозяйка;143;1
925;10168;13;2017;8;13;3;4;интернет;11;дизайнер;140;2
926;10168;14;2018;8;3;2;2;интернет;11;дизайнер;154;1
927;10169;12;2017;8;13;3;4;знакомые;12;соц_работник;140;2
928;10169;13;2018;8;16;3;4;знакомые;12;соц_работник;140;3
929;10170;12;2017;8;3;2;2;знакомые;40;врач;149;1
930;10170;13;2018;8;4;2;2;знакомые;40;врач;7;15
931;10170;14;2019;8;7;3;2;знакомые;40;врач;149;3
932;10170;15;2020;8;9;3;2;знакомые;40;врач;149;4
933;10171;14;2018;8;18;2;3;интернет;14;ген_дир;24;15
934;10171;15;2019;6;20;3;3;интернет;14;ген_дир;24;16
935;10175;10;2017;8;0;1;1;интернет;38;н;149;1
936;10175;11;2018;8;1;1;1;интернет;38;н;143;2
937;10175;12;2019;8;3;2;2;интернет;38;н;149;3
938;10179;12;2017;8;13;3;4;знакомые;15;домохозяйка;140;2
939;10179;13;2018;8;16;3;4;знакомые;15;домохозяйка;140;3
940;10182;13;2017;4;3;2;2;знакомые;40;архитектор;141;2
941;10185;12;2017;8;11;2;5;интернет;15;экономист;144;1
942;10185;13;2018;8;19;3;5;интернет;15;экономист;144;2
943;10186;10;2017;8;0;1;1;интернет;14;сотр_фирмы;149;1
944;10187;13;2017;4;11;2;5;интернет;27;бухгалтер;144;1
945;10192;10;2017;8;0;1;1;интернет;38;предприниматель;141;2
946;10192;11;2018;8;2;1;1;интернет;38;предприниматель;148;2
947;10192;13;2020;1;18;2;3;интернет;38;предприниматель;24;17
948;10193;13;2017;7;4;2;2;знакомые;29;преподаватель;7;14
949;10194;12;2017;8;1;1;1;интернет;40;сотр_фирмы;153;0
950;10195;12;2017;8;2;1;1;интернет;32;советник;148;1
951;10195;13;2018;8;11;2;5;интернет;32;советник;144;2
952;10196;11;2017;8;3;2;2;вк;15;экономист;149;1
953;10199;13;2017;8;13;3;4;знакомые;8;н;130;4
954;10199;14;2018;12;4;2;2;знакомые;8;н;7;15
955;10201;10;2017;8;0;1;1;интернет;8;сотр_трк;154;0
956;10201;11;2018;8;1;1;1;интернет;8;сотр_трк;143;2
957;10201;12;2019;8;4;2;2;интернет;8;сотр_трк;7;16
958;10201;13;2020;2;18;2;3;интернет;8;сотр_трк;24;17
959;10204;13;2017;8;18;2;3;интернет;34;н;7;14
960;10204;14;2018;8;20;3;3;интернет;34;н;24;15
961;10205;11;2017;8;3;2;2;интернет;19;домохозяйка;149;1
962;10205;12;2018;8;7;3;2;интернет;19;домохозяйка;149;2
963;10205;13;2019;6;11;2;5;интернет;19;домохозяйка;153;2
964;10211;14;2017;3;11;2;5;интернет;28;инд_предпр;144;1
965;10216;13;2017;8;11;2;5;интернет;23;врач;144;1
966;10217;14;2017;8;18;2;3;интернет;40;сотр_фирмы;24;14
967;10217;15;2018;8;15;3;2;интернет;40;сотр_фирмы;130;5
968;10218;12;2017;8;2;1;1;знакомые;43;заведующий;148;1
969;10218;13;2018;8;17;3;3;знакомые;43;заведующий;148;2
970;10228;14;2017;8;13;3;4;знакомые;35;админ;140;2
971;10228;15;2018;8;16;3;4;знакомые;35;админ;140;3
972;10229;14;2017;8;2;1;1;знакомые;40;преподаватель;148;1
973;10230;12;2017;8;1;1;1;интернет;18;бухгалтер;153;0
974;10230;13;2018;8;3;2;2;интернет;18;бухгалтер;149;2
975;10230;14;2019;8;5;3;2;интернет;18;бухгалтер;150;3
976;10231;15;2017;7;1;1;1;интернет;18;бухгалтер;153;0
977;10231;16;2018;8;11;2;5;интернет;18;бухгалтер;153;1
978;10232;14;2017;8;18;2;3;интернет;30;сотр_трансп;24;14
979;10232;15;2018;1;19;3;5;интернет;30;сотр_трансп;144;2
980;10232;16;2019;8;20;3;3;интернет;30;сотр_трансп;24;16
981;10233;13;2017;8;2;1;1;интернет;28;сотр_соц;148;1
982;10233;14;2018;8;11;2;5;интернет;28;сотр_соц;144;2
983;10236;13;2017;8;4;2;2;интернет;34;нач_отд;7;14
984;10238;14;2017;8;2;1;1;интернет;8;инженер;148;1
985;10238;15;2018;8;11;2;5;интернет;8;инженер;86;9
986;10238;15;2018;8;18;2;3;интернет;8;инженер;24;15
987;10238;16;2019;8;19;3;5;интернет;8;инженер;86;10
988;10239;12;2017;8;1;1;1;интернет;14;бухгалтер;143;1
989;10239;13;2018;4;11;2;5;интернет;14;бухгалтер;153;1
990;10239;15;2020;8;11;2;5;интернет;14;бухгалтер;153;3
991;10241;15;2017;8;4;2;2;знакомые;12;сотр_ооо;7;14
992;10243;12;2017;8;3;2;2;знакомые;30;н;141;2
993;10244;15;2017;8;11;2;5;знакомые;30;бухгалтер;144;1
994;10245;12;2017;8;3;2;2;знакомые;30;н;141;2
995;10246;12;2017;8;1;1;1;знакомые;28;врач;153;0
996;10248;14;2017;8;2;1;1;интернет;19;сотр_салон;148;1
997;10248;15;2018;8;11;2;5;интернет;19;сотр_салон;144;2
998;10249;10;2017;8;0;1;1;знакомые;32;куратор;141;2
999;10249;13;2020;8;13;3;4;знакомые;32;куратор;130;7
1000;10250;9;2017;8;0;1;1;интернет;40;преподаватель;141;2
1001;10250;10;2018;8;1;1;1;интернет;40;преподаватель;143;2
1002;10250;11;2019;8;2;1;1;интернет;40;преподаватель;156;1
1003;10251;9;2017;8;0;1;1;знакомые;28;н;149;1
1004;10251;10;2018;4;1;1;1;знакомые;28;н;143;2
1005;10252;12;2017;8;1;1;1;знакомые;15;бухгалтер;143;1
1006;10254;13;2017;8;0;1;1;знакомые;23;парикхмахер;141;2
1007;10254;14;2018;5;18;2;3;знакомые;23;парикхмахер;24;15
1008;10254;16;2020;8;11;2;5;знакомые;23;парикхмахер;86;11
1009;10255;9;2017;8;0;1;1;знакомые;39;сотр_ооо;141;2
1010;10255;10;2018;2;1;1;1;знакомые;39;сотр_ооо;143;2
1011;10257;9;2017;8;0;1;1;знакомые;43;н;141;2
1012;10257;10;2018;7;1;1;1;знакомые;43;н;153;1
1013;10258;9;2017;8;0;1;1;знакомые;32;директор;149;1
1014;10258;10;2018;8;3;2;2;знакомые;32;директор;149;2
1015;10259;10;2017;8;0;1;1;интернет;8;директор;154;0
1016;10259;11;2018;8;3;2;2;интернет;8;директор;154;1
1017;10259;12;2019;8;13;3;4;интернет;8;директор;140;4
1018;10259;13;2020;8;10;3;2;интернет;8;директор;156;1
1019;10259;14;2021;8;13;3;4;интернет;8;директор;171;0
1020;10261;9;2017;8;13;3;4;интернет;23;инд_предпр;130;4
1021;10261;10;2018;8;15;3;2;интернет;23;инд_предпр;130;5
1022;10261;11;2019;8;16;3;4;интернет;23;инд_предпр;140;4
1023;10262;13;2017;8;13;3;4;интернет;22; представитель;130;4
1024;10262;14;2018;8;16;3;4;интернет;22; представитель;140;3
1025;10263;12;2017;8;1;1;1;знакомые;33;директор;143;1
1026;10263;16;2021;8;12;3;5;знакомые;33;директор;172;0
1027;10264;13;2017;8;11;2;5;интернет;34;админ;144;1
1028;10264;14;2018;8;19;3;5;интернет;34;админ;144;2
1029;10265;10;2017;8;0;1;1;интернет;5;дизайнер;149;1
1030;10265;11;2018;6;3;2;2;интернет;5;дизайнер;149;2
1031;10265;12;2019;8;13;3;4;интернет;5;дизайнер;130;6
1032;10266;13;2017;8;2;1;1;знакомые;18;н;148;1
1033;10271;13;2017;8;3;2;2;знакомые;48;н;149;1
1034;10271;14;2018;8;7;3;2;знакомые;48;н;149;2
1035;10272;13;2017;8;4;2;2;знакомые;23;руководитель;7;14
1036;10272;14;2018;8;13;3;4;знакомые;23;руководитель;130;4
1037;10273;9;2017;8;0;1;1;знакомые;34;админ;141;2
1038;10273;10;2018;8;1;1;1;знакомые;34;админ;143;2
1039;10273;11;2019;8;2;1;1;знакомые;34;админ;156;1
1040;10273;12;2020;8;11;2;5;знакомые;34;админ;86;11
1041;10274;10;2017;8;1;1;1;родств;33;н;153;0
1042;10274;11;2018;4;11;2;5;родств;33;н;144;2
1043;10274;12;2019;5;11;2;5;родств;33;н;153;1
1044;10274;13;2020;8;18;2;3;родств;33;н;159;0
1045;10278;9;2017;8;0;1;1;знакомые;15;руководитель;141;2
1046;10278;10;2018;8;1;1;1;знакомые;15;руководитель;153;1
1047;10278;11;2019;8;3;2;2;знакомые;15;руководитель;149;3
1048;10278;12;2020;8;4;2;2;знакомые;15;руководитель;7;17
1049;10278;13;2021;8;13;3;4;знакомые;15;руководитель;152;5
1050;10279;13;2017;8;2;1;1;знакомые;35;домохозяйка;148;1
1051;10283;15;2017;4;11;2;5;знакомые;33;н;144;1
1052;10284;15;2017;2;4;2;2;знакомые;27;менеджер;7;14
1053;10285;15;2017;2;4;2;2;знакомые;27;менеджер;7;14
1054;10288;11;2017;8;1;1;1;знакомые;28;н;153;0
1055;10288;12;2018;8;3;2;2;знакомые;28;н;149;2
1056;10290;13;2018;8;3;2;2;интернет;28;сотр_мед;149;2
1057;10291;11;2017;8;0;1;1;знакомые;39;сотр_салон;141;2
1058;10291;12;2018;8;4;2;2;знакомые;39;сотр_салон;7;15
1059;10291;13;2019;8;15;3;2;знакомые;39;сотр_салон;130;5
1060;10291;14;2020;4;16;3;4;знакомые;39;сотр_салон;140;5
1061;10293;17;2017;8;16;3;7;знакомые;40;н;7;14
1062;10294;14;2017;4;4;2;2;интернет;40;бухгалтер;7;14
1063;10295;12;2017;8;2;1;1;интернет;38;преподаватель;148;1
1064;10296;14;2017;8;4;2;2;интернет;15;директор;7;14
1065;10296;15;2018;4;15;3;2;интернет;15;директор;130;5
1066;10298;14;2017;4;18;2;3;знакомые;40;ген_дир;24;14
1067;10299;11;2017;8;2;1;1;интернет;19;мастер;148;1
1068;10299;12;2018;3;11;2;5;интернет;19;мастер;144;2
1069;10299;13;2019;5;11;2;5;интернет;19;мастер;144;2
1070;10299;13;2019;8;19;3;5;интернет;19;мастер;86;10
1071;10301;13;2017;8;13;3;4;знакомые;28;инженер;130;4
1072;10301;14;2018;8;13;3;4;знакомые;28;инженер;140;3
1073;10302;10;2017;8;0;1;1;интернет;5;аналитик;141;2
1074;10302;11;2018;7;2;1;1;интернет;5;аналитик;148;2
1075;10304;15;2017;8;11;2;5;вк;33;н;144;1
1076;10305;14;2017;8;1;1;1;знакомые;14;предприниматель;143;1
1077;10305;15;2018;8;11;2;5;знакомые;14;предприниматель;144;2
1078;10305;16;2019;8;4;2;2;знакомые;14;предприниматель;7;16
1079;10306;15;2017;4;18;2;3;знакомые;32;сотр_ао;7;14
1080;10308;15;2017;8;1;1;1;знакомые;14;директор;143;1
1081;10308;16;2018;2;11;2;5;знакомые;14;директор;153;1
1082;10309;12;2017;8;3;2;2;знакомые;16;преподаватель;141;2
1083;10309;13;2018;8;7;3;2;знакомые;16;преподаватель;149;2
1084;10309;14;2019;8;18;2;3;знакомые;16;преподаватель;24;16
1085;10309;15;2020;8;20;3;3;знакомые;16;преподаватель;24;17
1086;10310;13;2017;8;2;1;1;знакомые;5;архитектор;148;1
1087;10310;14;2018;8;17;3;3;знакомые;5;архитектор;148;2
1088;10310;15;2019;8;4;2;2;знакомые;5;архитектор;7;16
1089;10310;16;2020;1;15;3;2;знакомые;5;архитектор;130;7
1090;10311;12;2017;8;2;1;1;знакомые;5;соц_работник;148;1
1091;10312;11;2017;8;1;1;1;знакомые;5;сотр_мед;143;1
1092;10313;15;2017;2;11;2;5;знакомые;33;сотр_дизайнст;144;1
1093;10315;12;2017;5;11;2;5;интернет;5;домохозяйка;144;1
1094;10315;13;2018;3;11;2;5;интернет;5;домохозяйка;144;1
1095;10315;13;2018;7;19;3;5;интернет;5;домохозяйка;144;2
1096;10319;9;2017;8;0;1;1;интернет;8;эксперт;141;2
1097;10319;10;2018;8;1;1;1;интернет;8;эксперт;153;1
1098;10319;11;2019;8;2;1;1;интернет;8;эксперт;156;1
1099;10319;12;2020;8;11;2;5;интернет;8;эксперт;86;11
1100;10319;13;2021;8;18;2;3;интернет;8;эксперт;24;18
1101;10321;14;2017;8;18;2;3;интернет;18;н;24;14
1102;10322;12;2017;8;13;3;4;интернет;43;н;140;2
1103;10322;13;2018;8;16;3;4;интернет;43;н;140;3
1104;10322;14;2019;8;11;2;5;интернет;43;н;86;10
1105;10323;9;2017;8;0;1;1;знакомые;18;стоматолог;149;1
1106;10324;11;2017;8;3;2;2;интернет;5;нач_отд;141;2
1107;10328;14;2017;8;2;1;1;интернет;43;сотр_мвд;148;1
1108;10328;15;2018;8;11;2;5;интернет;43;сотр_мвд;153;1
1109;10329;15;2017;8;20;3;3;знакомые;19;н;24;14
1110;10330;11;2017;8;1;1;1;интернет;33;н;143;1
1111;10330;12;2018;8;11;2;5;интернет;33;н;144;2
1112;10330;13;2019;2;19;3;5;интернет;33;н;86;10
1113;10330;13;2019;6;19;3;5;интернет;33;н;86;10
1114;10331;11;2017;8;2;1;1;интернет;15;врач;148;1
1115;10332;13;2017;8;18;2;3;интернет;14;н;24;14
1116;10333;13;2017;8;18;2;3;интернет;27;зам_дир;24;14
1117;10333;14;2018;8;15;3;2;интернет;27;зам_дир;130;5
1118;10334;12;2017;8;2;1;1;интернет;32;курьер;148;1
1119;10334;13;2018;8;17;3;3;интернет;32;курьер;148;2
1120;10334;14;2019;8;18;2;3;интернет;32;курьер;24;16
1121;10334;15;2020;8;20;3;3;интернет;32;курьер;24;17
1122;10336;10;2017;8;0;1;1;знакомые;12;н;141;2
1123;10336;11;2018;4;1;1;1;знакомые;12;н;143;2
1124;10337;10;2017;8;0;1;1;интернет;40;бухгалтер;141;2
1125;10337;11;2018;8;3;2;2;интернет;40;бухгалтер;141;3
1126;10338;12;2017;8;0;1;1;знакомые;40;воспитатель;141;2
1127;10338;13;2018;8;3;2;2;знакомые;40;воспитатель;141;3
1128;10340;12;2017;3;2;1;1;знакомые;12;н;148;1
1129;10341;16;2017;2;18;2;3;знакомые;36;преподаватель;24;14
1130;10343;13;2017;8;1;1;1;знакомые;38;сотр_трансп;143;1
1131;10343;14;2018;8;11;2;5;знакомые;38;сотр_трансп;144;2
1132;10344;10;2017;8;0;1;1;знакомые;5;админ;141;2
1133;10344;11;2018;8;1;1;1;знакомые;5;админ;143;2
1134;10344;12;2019;8;2;1;1;знакомые;5;админ;156;1
1135;10344;13;2020;4;11;2;5;знакомые;5;админ;86;11
1136;10344;13;2020;5;11;2;5;знакомые;5;админ;153;3
1137;10344;14;2021;8;12;3;5;знакомые;5;админ;161;1
1138;10345;14;2019;8;5;3;2;интернет;38;руководитель;150;3
1139;10348;12;2017;8;2;1;1;знакомые;40;н;148;1
1140;10348;13;2018;8;11;2;5;знакомые;40;н;144;2
1141;10348;14;2019;8;19;3;5;знакомые;40;н;86;10
1142;10349;15;2017;8;11;2;5;знакомые;12;н;144;1
1143;10350;15;2017;4;18;2;3;знакомые;5;н;7;14
1144;10351;11;2017;8;0;1;1;знакомые;40;домохозяйка;141;2
1145;10351;12;2018;8;11;2;5;знакомые;40;домохозяйка;144;2
1146;10351;12;2018;7;13;3;4;знакомые;40;домохозяйка;130;5
1147;10351;13;2019;7;16;3;4;знакомые;40;домохозяйка;140;5
1148;10352;11;2017;8;1;1;1;знакомые;5;директор;143;1
1149;10353;9;2017;8;0;1;1;знакомые;18;директор;141;2
1150;10353;10;2018;8;1;1;1;знакомые;18;директор;143;2
1151;10353;11;2019;5;2;1;1;знакомые;18;директор;148;3
1152;10353;12;2020;4;2;1;1;знакомые;18;директор;148;3
1153;10354;15;2017;5;18;2;3;знакомые;33;преподаватель;24;14
1154;10355;11;2017;8;3;2;2;интернет;5;инд_предпр;149;1
1155;10355;12;2018;8;7;3;2;интернет;5;инд_предпр;149;2
1156;10356;11;2017;8;1;1;1;интернет;8;директор;153;0
1157;10356;12;2018;2;2;1;1;интернет;8;директор;148;2
1158;10356;12;2018;7;2;1;1;интернет;8;директор;148;2
1159;10356;13;2019;8;11;2;5;интернет;8;директор;86;10
1160;10356;14;2020;8;13;3;4;интернет;8;директор;130;7
1161;10357;8;2017;8;0;1;1;н;15;н;141;2
1162;10357;9;2018;8;1;1;1;н;15;н;143;2
1163;10358;15;2017;8;11;2;5;интернет;5;сотр_горного;144;1
1164;10360;10;2017;8;0;1;1;интернет;33;н;141;2
1165;10360;10;2017;8;1;1;1;интернет;33;н;153;0
1166;10360;11;2018;8;2;1;1;интернет;33;н;148;2
1167;10360;11;2018;8;11;2;5;интернет;33;н;144;2
1168;10360;12;2019;8;13;3;4;интернет;33;н;130;6
1169;10361;12;2017;8;6;3;2;знакомые;28;сотр_банка;150;1
1170;10362;13;2017;1;13;3;4;знакомые;40;сотр_ао;130;4
1171;10364;12;2017;8;11;2;5;интернет;19;сотр_техно;144;1
1172;10364;13;2018;8;19;3;5;интернет;19;сот_техно;144;2
1173;10365;11;2017;8;0;1;1;знакомые;15;руководитель;154;0
1174;10365;12;2018;7;3;2;2;знакомые;15;руководитель;149;2
1175;10365;12;2018;8;1;1;1;знакомые;15;руководитель;153;1
1176;10366;13;2017;8;18;2;3;интернет;35;инд_предпр;24;14
1177;10366;14;2018;8;20;3;3;интернет;35;инд_предпр;24;15
1178;10367;12;2017;8;2;1;1;интернет;5;н;148;1
1179;10367;13;2018;8;17;3;3;интернет;5;н;148;2
1180;10370;14;2017;8;11;2;5;интернет;38;инд_предпр;144;1
1181;10372;14;2017;8;11;2;5;интернет;5;таможня;144;1
1182;10374;15;2017;8;18;2;3;интернет;34;дизайнер;24;14
1183;10375;8;2017;2;0;1;1;интернет;28;н;149;1
1184;10376;12;2019;8;15;3;2;знакомые;5;менеджер;130;5
1185;10377;13;2017;8;11;2;5;знакомые;28;инженер;144;1
1186;10379;13;2017;8;3;2;2;знакомые;33;н;149;1
1187;10379;14;2018;4;7;3;2;знакомые;33;н;149;2
1188;10380;12;2017;8;11;2;5;знакомые;40;технолог;144;1
